2024-05-13 23:40:49.8529|WARN|Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer|The ASP.NET Core developer certificate is not trusted. For information about trusting the ASP.NET Core developer certificate, see https://aka.ms/aspnet/https-trust-dev-cert.
2024-05-13 23:40:49.9905|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7053
2024-05-13 23:40:49.9905|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5188
2024-05-13 23:40:49.9905|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down.
2024-05-13 23:40:49.9905|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development
2024-05-13 23:40:49.9905|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Code\RefactoredFundooNotes\FundooNotes\FundooNotes
2024-05-13 23:40:51.7070|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7053/swagger - - -
2024-05-13 23:40:52.0756|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7053/swagger - 301 0 - 376.2779ms
2024-05-13 23:40:52.0914|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7053/swagger/index.html - - -
2024-05-13 23:40:52.2393|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7053/swagger/index.html - 200 - text/html;charset=utf-8 146.9040ms
2024-05-13 23:40:52.2556|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7053/swagger/swagger-ui.css - - -
2024-05-13 23:40:52.2556|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7053/swagger/swagger-ui-bundle.js - - -
2024-05-13 23:40:52.2556|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7053/swagger/swagger-ui-standalone-preset.js - - -
2024-05-13 23:40:52.2556|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7053/_framework/aspnetcore-browser-refresh.js - - -
2024-05-13 23:40:52.2556|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7053/_vs/browserLink - - -
2024-05-13 23:40:52.2831|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7053/_framework/aspnetcore-browser-refresh.js - 200 13758 application/javascript;+charset=utf-8 17.3901ms
2024-05-13 23:40:52.3296|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A'
2024-05-13 23:40:52.3327|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7053/swagger/swagger-ui.css - 200 143943 text/css 76.9129ms
2024-05-13 23:40:52.3327|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A'
2024-05-13 23:40:52.3327|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7053/swagger/swagger-ui-standalone-preset.js - 200 339486 text/javascript 75.9779ms
2024-05-13 23:40:52.3771|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A'
2024-05-13 23:40:52.3771|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7053/swagger/swagger-ui-bundle.js - 200 1096145 text/javascript 112.3689ms
2024-05-13 23:40:52.4532|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7053/_vs/browserLink - 200 - text/javascript;+charset=UTF-8 186.1826ms
2024-05-13 23:40:52.7031|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7053/swagger/v1/swagger.json - - -
2024-05-13 23:40:52.7294|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7053/swagger/favicon-32x32.png - - -
